timestamp, index, pstate, utilization.gpu [%], utilization.memory [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, clocks_event_reasons.active, clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.hw_power_brake_slowdown, clocks_event_reasons.sync_boost
2026/02/07 22:28:04.987, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1180.57 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:05.987, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1180.39 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:06.987, 1, P0, 99 %, 19 %, 1260 MHz, 3996 MHz, 1178.49 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:07.988, 1, P0, 99 %, 19 %, 1230 MHz, 3996 MHz, 1181.54 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:08.988, 1, P0, 99 %, 19 %, 1230 MHz, 3996 MHz, 1178.16 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:09.988, 1, P0, 99 %, 18 %, 1260 MHz, 3996 MHz, 1179.60 W, 72, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:10.988, 1, P0, 99 %, 20 %, 1282 MHz, 3996 MHz, 1187.36 W, 73, 0x0000000000000004, Not Active, Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:11.988, 1, P0, 100 %, 30 %, 1950 MHz, 3996 MHz, 992.71 W, 66, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:12.989, 1, P0, 100 %, 19 %, 1950 MHz, 3996 MHz, 928.43 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:13.989, 1, P0, 100 %, 27 %, 1950 MHz, 3996 MHz, 889.51 W, 63, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:14.989, 1, P0, 100 %, 17 %, 1950 MHz, 3996 MHz, 899.55 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:15.989, 1, P0, 100 %, 20 %, 1950 MHz, 3996 MHz, 882.46 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:16.989, 1, P0, 100 %, 29 %, 1950 MHz, 3996 MHz, 912.50 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:17.989, 1, P0, 100 %, 30 %, 1950 MHz, 3996 MHz, 886.86 W, 65, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
2026/02/07 22:28:18.989, 1, P0, 100 %, 15 %, 1950 MHz, 3996 MHz, 911.30 W, 64, 0x0000000000000000, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active, Not Active
